year,quarter,month,day_of_month,day_of_week,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,dep_delay_new,taxi_out,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,source_file,route,dep_hour,block_time_error,underblocked,late_arrival,is_weekend
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N5007E,1612,MIA,DCA,1014,1006.0,-8.0,0.0,13.0,6.0,1254,1226.0,-28.0,0.0,0.0,0.0,0.0,160.0,140.0,121.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-DCA,10,-20.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N521UW,2007,DCA,DFW,500,449.0,-11.0,0.0,14.0,8.0,726,640.0,-46.0,0.0,0.0,0.0,0.0,206.0,171.0,149.0,1192.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-DFW,5,-35.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N583UW,1650,DCA,DFW,1720,1736.0,16.0,16.0,27.0,12.0,1949,1948.0,-1.0,0.0,0.0,0.0,0.0,209.0,192.0,153.0,1192.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-DFW,17,-17.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N583UW,1739,DFW,DCA,1219,1217.0,-2.0,0.0,24.0,4.0,1619,1632.0,13.0,13.0,0.0,0.0,0.0,180.0,195.0,167.0,1192.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DFW-DCA,12,15.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N651AW,489,ORD,DCA,1700,1701.0,1.0,1.0,14.0,3.0,1958,1941.0,-17.0,0.0,0.0,0.0,0.0,118.0,100.0,83.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,ORD-DCA,17,-18.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N657AW,2077,DFW,DCA,2100,2058.0,-2.0,0.0,14.0,4.0,100,45.0,-15.0,0.0,0.0,0.0,0.0,180.0,167.0,149.0,1192.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DFW-DCA,21,-13.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N702UW,2345,ORD,DCA,810,803.0,-7.0,0.0,20.0,3.0,1100,1057.0,-3.0,0.0,0.0,0.0,0.0,110.0,114.0,91.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,ORD-DCA,8,4.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N702UW,3249,DCA,CLT,1159,1150.0,-9.0,0.0,21.0,8.0,1335,1310.0,-25.0,0.0,0.0,0.0,0.0,96.0,80.0,51.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-CLT,11,-16.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N704US,2733,DCA,JAX,744,734.0,-10.0,0.0,23.0,6.0,946,939.0,-7.0,0.0,0.0,0.0,0.0,122.0,125.0,96.0,634.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-JAX,7,3.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N704US,2985,RDU,DCA,549,541.0,-8.0,0.0,11.0,3.0,659,633.0,-26.0,0.0,0.0,0.0,0.0,70.0,52.0,38.0,227.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,RDU-DCA,5,-18.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N705UW,2304,DCA,ORD,630,622.0,-8.0,0.0,16.0,11.0,742,721.0,-21.0,0.0,0.0,0.0,0.0,132.0,119.0,92.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-ORD,6,-13.0,0,0,0
